node_id,x_mm,y_mm,z_mm,rho
1,11.0,0.1,-4.0,0.1391
2,5.0,0.1,-4.0,0.99545
3,9.5,0.1,-4.0,0.32882
4,8.0,0.1,-4.0,0.69173
5,6.5,0.1,-4.0,0.95764
6,-5.0,0.1,-4.0,0.99903
7,3.333333333,0.1,-4.0,1.0
8,1.6666666669999999,0.1,-4.0,1.0
9,1.3010426069999999e-15,0.1,-4.0,1.0
10,-1.6666666669999999,0.1,-4.0,1.0
11,-3.333333333,0.1,-4.0,1.0
12,-11.0,0.1,-4.0,0.065005
13,-6.5,0.1,-4.0,0.90597
14,-8.0,0.1,-4.0,0.68241
15,-9.5,0.1,-4.0,0.2543
16,-11.0,0.1,2.0,2.4821e-05
17,-11.0,0.1,-2.5,0.061883
18,-11.0,0.1,-1.0,0.0044014
19,-11.0,0.1,0.5,0.011657
20,-17.0,0.1,2.0,0.0
21,-12.5,0.1,2.0,0.0
22,-14.0,0.1,2.0,0.0
23,-15.5,0.1,2.0,0.0
24,-17.0,0.1,11.0,1.0
25,-17.0,0.1,3.8,0.03714
26,-17.0,0.1,5.6,0.22633
27,-17.0,0.1,7.4,0.68022
28,-17.0,0.1,9.2,0.965
29,17.0,0.1,11.0,1.0
30,-15.111111110000001,0.1,11.0,1.0
31,-13.222222219999999,0.1,11.0,1.0
32,-11.33333333,0.1,11.0,0.99204
33,-9.444444444,0.1,11.0,1.0
34,-7.555555556,0.1,11.0,1.0
35,-5.666666667,0.1,11.0,1.0
36,-3.777777778,0.1,11.0,1.0
37,-1.888888889,0.1,11.0,1.0
38,-2.168404345e-15,0.1,11.0,1.0
39,1.888888889,0.1,11.0,1.0
40,3.777777778,0.1,11.0,1.0
41,5.666666667,0.1,11.0,1.0
42,7.555555556,0.1,11.0,1.0
43,9.444444444,0.1,11.0,1.0
44,11.33333333,0.1,11.0,1.0
45,13.222222219999999,0.1,11.0,1.0
46,15.111111110000001,0.1,11.0,1.0
47,17.0,0.1,2.0,0.0
48,17.0,0.1,9.2,0.98021
49,17.0,0.1,7.4,0.83152
50,17.0,0.1,5.6,0.36372
51,17.0,0.1,3.8,0.026385
52,11.0,0.1,2.0,0.0
53,15.5,0.1,2.0,0.0
54,14.0,0.1,2.0,0.0
55,12.5,0.1,2.0,0.0
56,11.0,0.1,0.5,0.0
57,11.0,0.1,-1.0,0.0013217
58,11.0,0.1,-2.5,0.064532
59,-11.0,-1.0,2.0,0.00011213
60,-17.0,-1.0,2.0,0.0
61,-12.5,-1.0,2.0,0.0
62,-14.0,-1.0,2.0,0.0
63,-15.5,-1.0,2.0,0.0
