Node Number	Topology Density ( )
1	0.1391
2	0.99545
3	0.32882
4	0.69173
5	0.95764
6	0.99903
7	1.
8	1.
9	1.
10	1.
11	1.
12	6.5005e-002
13	0.90597
14	0.68241
15	0.2543
16	2.4821e-005
17	6.1883e-002
18	4.4014e-003
19	1.1657e-002
20	0.
21	0.
22	0.
23	0.
24	1.
25	3.714e-002
26	0.22633
27	0.68022
28	0.965
29	1.
30	1.
31	1.
32	0.99204
33	1.
34	1.
35	1.
36	1.
37	1.
38	1.
39	1.
40	1.
41	1.
42	1.
43	1.
44	1.
45	1.
46	1.
47	0.
48	0.98021
49	0.83152
50	0.36372
51	2.6385e-002
52	0.
53	0.
54	0.
55	0.
56	0.
57	1.3217e-003
58	6.4532e-002
59	1.1213e-004
60	0.
61	0.
62	0.
63	0.
64	0.14384
65	6.8029e-002
66	9.6728e-004
67	0.
68	0.99898
69	0.96827
70	0.75482
71	0.35925
72	1.
73	1.
74	1.
75	1.
76	1.
77	1.
78	1.
79	1.
80	1.
81	0.99698
82	1.
83	1.
84	7.2977e-002
85	0.27819
86	0.70212
87	0.85651
88	0.
89	7.108e-007
90	1.821e-003
91	6.3759e-002
92	0.
93	0.
94	0.
95	0.
96	1.
97	0.96852
98	0.75917
99	0.38708
100	4.0788e-002
101	1.
102	1.
103	1.
104	0.99033
105	1.
106	1.
107	1.
108	1.
109	1.
110	1.
111	1.
112	1.
113	1.
114	1.
115	1.
116	1.
117	1.
118	1.
119	2.6391e-002
120	0.21243
121	0.61846
122	0.94841
123	1.
124	1.
125	1.
126	1.
127	1.
128	1.
129	1.
130	1.
131	1.
132	1.
133	1.
134	0.86533
135	0.73644
136	0.99957
137	0.99393
138	0.64111
139	0.79423
140	0.81279
141	0.28715
142	1.
143	0.95316
144	0.79249
145	0.89519
146	0.78837
147	0.707
148	0.21081
149	0.99117
150	1.
151	0.90741
152	0.24548
153	0.99109
154	0.33399
155	0.94559
156	0.21879
157	0.17124
158	0.44803
159	1.
160	0.26397
161	7.2111e-003
162	0.79935
163	0.24637
164	0.24835
165	0.89283
166	0.76257
167	0.4728
168	1.
169	1.
170	0.81345
171	0.99991
172	1.
173	0.90729
174	0.27632
175	0.74082
176	0.37847
177	0.88308
178	0.41554
179	0.72626
180	0.81604
181	0.99694
182	0.94752
183	0.55291
184	0.97943
185	1.
186	0.76452
187	0.1552
188	0.28265
189	0.76997
190	0.37536
191	0.24874
192	0.19318
193	0.87949
194	0.94888
195	0.80003
196	4.9421e-003
197	0.90283
198	0.87347
199	6.8154e-002
200	2.9496e-002
201	0.39337
202	0.99954
203	0.99652
204	0.78075
205	0.98088
206	1.5086e-002
207	0.55432
208	1.
209	0.23396
210	0.10182
211	0.10604
212	0.20865
213	0.97655
214	0.99773
215	0.99622
216	0.99773
217	0.88271
218	0.99749
219	0.51028
220	0.19667
221	0.3035
222	0.51547
223	0.28878
224	0.82469
225	0.69692
226	0.77412
227	0.73085
228	0.47024
229	0.97731
230	0.90708
231	0.86381
